id_produttori,id_categorie,sotto_categoria,categoria_nome,campo,valoreregola
1,1,,,Motore,New King 19 - Cassa lunga - 19.500 rpm - Etichetta arancione
1,1,,,Supporto Motore,1259 Triangular anglewinder motor support xhard red
1,1,,,Supporto Motore,1257 Triangular anglewinder motor support medium black
1,1,,,Forcella,1234 Forcella originale rossa
1,1,,,Corona,6527 Anglewinder Alluminio - 27 denti 16.6mm
1,1,,,Corona,6528 Anglewinder Alluminio - 28 denti 16.6mm
1,1,,,Corona,6529 Anglewinder Alluminio - 29 denti 16.6mm
1,1,,,Corona,6530 Anglewinder Alluminio - 30 denti 16.6mm
1,1,,,Corona,6531 Anglewinder Alluminio - 31 denti 16.6mm
1,1,,,Corona,6532 Anglewinder Alluminio - 32 denti 16.6mm
1,1,,,Corona,6533 Anglewinder Alluminio - 33 denti 16.6mm
1,1,,,Corona,6534 Anglewinder Alluminio - 34 denti 16.6mm
1,1,,,Corona,6626 Anglewinder Plastica - 26 denti 16.0mm
1,1,,,Corona,6627 Anglewinder Plastica - 27 denti 16.0mm
1,1,,,Corona,6628 Anglewinder Plastica - 28 denti 16.0mm
1,1,,,Corona,6629 Anglewinder Plastica - 29 denti 16.0mm
1,1,,,Corona,6630 Anglewinder Plastica - 30 denti 16.0mm
1,1,,,Corona,6631 Anglewinder Plastica - 31 denti 16.0mm
1,1,,,Corona,6632 Anglewinder Plastica - 32 denti 16.0mm
1,1,,,Corona,6633 Anglewinder Plastica - 33 denti 16.0mm
1,1,,,Pignoni,1667 Anglewinder - 13 denti - 7.5m (Ottone)
1,1,,,Pignoni,2458 Anglewinder Nylon Red - 13 denti 7.5 mm
1,1,,,Assale Anteriore,4801 Standard - Acciaio Rettificato - 55mm
1,1,,,Assale Anteriore,4802 Assale 3/32 - Standard - Acciaio Rettificato - 55mm
1,1,,,Assale Anteriore,4872 Assale Forato 3/32 - 55 mm
1,1,,,Assale Posteriore,4801 Standard - Acciaio Rettificato - 55mm
1,1,,,Assale Posteriore,4802 Assale 3/32 - Standard - Acciaio Rettificato - 55mm
1,1,,,Assale Posteriore,4872 Assale Forato 3/32 - 55 mm
1,1,,,Cerchi Anteriori,5003 Anteriori Grandi No Air System da 17.25x8.2mm
1,1,,,Cerchi Anteriori,5024 Anteriori - Ultralight in Pom - 17x8 mm
1,1,,,Cerchi Posteriori,5004 Posteriori Grandi Air System da 17.25x10mm
1,1,,,Cerchi Posteriori,5003 Anteriori Grandi No Air System da 17.25x8.2mm
1,1,,,Pickup,4841 Standard Base - A vite - Lama Corta
1,1,,,Pickup,4842 Standard Base - A vite - Lama Lunga
1,1,,,Pickup,4843 Black - Standard - A vite - Lama Lunga
1,1,,,Pickup,4844 Black - Racing - A vite - Lama Lunga
1,1,,,Pickup,4845 Black - Rally - A stelo - Stelo Lungo
1,1,,,Viti Carrozzeria,4833 Viti Carrozzeria Originali
1,1,,,Viti Carrozzeria,4834 Viti Metriche - 2.2x6.5mm Corte
1,1,,,Viti Carrozzeria,4836 Viti Metriche - 2.2x8mm Lunghe
1,1,,,Viti Carrozzeria,4839 Viti Metriche - Ottone 2.2x8mm
1,1,,,Viti Carrozzeria,4869 Viti Metriche - 2.2x6.5mm
1,1,,,Gomme Anteriori,16x8mm No Friction per Cerchi da 13
1,1,,,Gomme Anteriori,16x8mm Ultra Low No Friction
1,1,,,Gomme Anteriori,17x10mm No Friction per Cerchi da 13
1,1,,,Gomme Anteriori,17x8mm No Friction
1,1,,,Gomme Anteriori,18x10mm No Friction per Cerchi da 13
1,1,,,Gomme Anteriori,18x8mm No Friction
1,1,,,Gomme Anteriori,19x10mm No Friction
1,1,,,Gomme Posteriori,17.5x10.5 Low Profile Zero Graining - GT3
1,1,,,Gomme Posteriori,19.5x10 Zero Graining - GT3
1,1,,,Gomme Posteriori,19.5x11mm GT3 Evo
1,1,,,Gomme Posteriori,19.5x10mm Ultragrip
1,1,,,Gomme Posteriori,19.5x10 Zero Graining - GT3 - 100pz
1,2,,,Motore,3041 Shark EVO - Cassa corta - 21.500 rpm - Etichetta fucsia
1,2,,,Supporto Motore,1270 Sidewinder motor support xhard red
1,2,,,Supporto Motore,1272 Sidewinder motor support medium black
1,2,,,Corona,6030 Sidewinder Alluminio - 30 denti 17.5mm
1,2,,,Corona,6031 Sidewinder Alluminio - 31 denti 17.5mm
1,2,,,Corona,6032 Sidewinder Alluminio - 32 denti 17.5mm
1,2,,,Corona,6033 Sidewinder Alluminio - 33 denti 17.5mm
1,2,,,Corona,6034 Sidewinder Alluminio - 34 denti 17.5mm
1,2,,,Corona,6035 Sidewinder Alluminio - 35 denti 17.5mm
1,2,,,Corona,6036 Sidewinder Alluminio - 36 denti 17.5mm
1,2,,,Corona,6037 Sidewinder Alluminio - 37 denti 17.5mm
1,2,,,Corona,6430 Sidewinder Plastica - 30 denti 17.5mm
1,2,,,Corona,6431 Sidewinder Plastica - 31 denti 17.5mm
1,2,,,Corona,6432 Sidewinder Plastica - 32 denti 17.5mm
1,2,,,Corona,6433 Sidewinder Plastica - 33 denti 17.5mm
1,2,,,Corona,6434 Sidewinder Plastica - 34 denti 17.5mm
1,2,,,Pignoni,6911A Sidewinder - 11 denti - Ottone
1,2,,,Pignoni,6912 Sidewinder - 12 denti - Ottone
1,2,,,Assale Anteriore,4801 Standard - Acciaio Rettificato - 49mm
1,2,,,Assale Posteriore,4801 Standard - Acciaio Rettificato - 49mm
1,2,,,Cerchi Anteriori,5001 Anteriori Standard - 16.5x8mm
1,2,,,Cerchi Posteriori,5002 Posteriori Standard - 16.5x8mm
1,2,,,Cerchi Posteriori,5001 Anteriori Standard - 16.5x8mm
1,2,,,Pickup,4841 Standard Base - A vite - Lama Corta
1,2,,,Pickup,4842 Standard Base - A vite - Lama Lunga
1,2,,,Pickup,4843 Black - Standard - A vite - Lama Lunga
1,2,,,Pickup,4844 Black - Racing - A vite - Lama Lunga
1,2,,,Pickup,4845 Black - Rally - A stelo - Stelo Lungo
1,2,,,Pickup,4859 Advanced Racing - A vite - Lama Corta
1,2,,,Viti Carrozzeria,4834 Viti Metriche - 2.2x6.5mm Corte
1,2,,,Viti Carrozzeria,4836 Viti Metriche - 2.2x8mm Lunghe
1,2,,,Viti Carrozzeria,4837 Viti Metriche - 2.2x10mm
1,2,,,Viti Carrozzeria,4839 Viti Metriche - Ottone 2.2x8mm
1,2,,,Viti Carrozzeria,4869 Viti Metriche - 2.2x6.5mm
1,2,,,Gomme Anteriori,20x8.5mm per Classic
1,2,,,Gomme Anteriori,18.5x10mm Porsche 917
1,2,,,Gomme Posteriori,18x10.5 Zero Graining WRE 2025 Official
1,2,,,Gomme Posteriori,21x12mm Ultragrip Classic
1,2,,,Gomme Posteriori,21x14mm Ultragrip Vanquish
1,3,,,Motore,King 21 EVO/3 - Cassa lunga - 21.500 rpm - Etichetta fucsia
1,3,,,Supporto Motore,1329 Sidewinder motor support +1 mm Offset RED Extra-hard
1,3,,,Supporto Motore,1331 Sidewinder motor support +1 mm Offset BLACK medium
1,3,,,Corona,5928 Sidewinder Alluminio - 28 denti 16.8mm
1,3,,,Corona,5929 Sidewinder Alluminio - 29 denti 16.8mm
1,3,,,Corona,5930 Sidewinder Alluminio - 30 denti 16.8mm
